TABLE_NAME,COLUMN_NAME
system_settings,mute_recordings
system_settings,user_admin_redirect
system_settings,list_status_modification_confirmation
system_settings,sip_event_logging
system_settings,call_quota_lead_ranking
system_settings,enable_second_script
system_settings,enable_first_webform
system_settings,recording_buttons
system_settings,opensips_cid_name
system_settings,require_password_length
system_settings,user_account_emails
system_settings,outbound_cid_any
system_settings,entries_per_page
system_settings,browser_call_alerts
system_settings,queuemetrics_pausereason
system_settings,inbound_answer_config
system_settings,enable_international_dncs
system_settings,web_loader_phone_strip
system_settings,manual_dial_phone_strip
system_settings,daily_call_count_limit
system_settings,allow_shared_dial
system_settings,agent_search_method
system_settings,phone_defaults_container
system_settings,qc_claim_limit
system_settings,qc_expire_days
system_settings,two_factor_auth_hours
system_settings,two_factor_container
system_settings,agent_hidden_sound
system_settings,agent_hidden_sound_volume
system_settings,agent_hidden_sound_seconds
system_settings,agent_screen_timer
system_settings,label_lead_id
system_settings,label_list_id
system_settings,label_entry_date
system_settings,label_gmt_offset_now
system_settings,label_source_id
system_settings,label_called_since_last_reset
system_settings,label_status
system_settings,label_user
system_settings,label_date_of_birth
system_settings,label_country_code
system_settings,label_last_local_call_time
system_settings,label_called_count
system_settings,label_rank
system_settings,label_owner
system_settings,label_entry_list_id
system_settings,call_limit_24hour
system_settings,call_limit_24hour_reset
system_settings,allowed_sip_stacks
system_settings,agent_hide_hangup
system_settings,allow_web_debug
system_settings,max_logged_in_agents
system_settings,user_codes_admin
system_settings,login_kickall
system_settings,abandon_check_queue
system_settings,agent_notifications
system_settings,demographic_quotas
system_settings,log_latency_gaps
system_settings,inbound_credits
system_settings,weekday_resets
system_settings,two_factor_auth_agent_hours
system_settings,highest_lead_id
system_settings,hopper_hold_inserts
system_settings,coldstorage_server_ip
system_settings,coldstorage_dbname
system_settings,coldstorage_login
system_settings,coldstorage_pass
system_settings,coldstorage_port
system_settings,stereo_recording
system_settings,enhanced_agent_monitoring
twoday_call_log,uniqueid
twoday_call_log,channel
twoday_call_log,channel_group
twoday_call_log,type
twoday_call_log,server_ip
twoday_call_log,extension
twoday_call_log,number_dialed
twoday_call_log,caller_code
twoday_call_log,start_time
twoday_call_log,start_epoch
twoday_call_log,end_time
twoday_call_log,end_epoch
twoday_call_log,length_in_sec
twoday_call_log,length_in_min
twoday_recording_log,recording_id
twoday_recording_log,channel
